! CMT, C1209, 00000001, 25.3.3/1
! Date: 15/10/2025 16:00:55
! Stimulus(Hz),    S11(dB)
2.92506750000E+09,-1.58443795977E-01
2.97006700000E+09,-1.78527932599E-01
3.01506650000E+09,-2.17754944714E-01
3.06006600000E+09,-3.25073665048E-01
3.10506550000E+09,-1.05184030412E+00
3.15006500000E+09,-8.31807632343E+00
3.19506450000E+09,-5.44454587676E+00
3.24006400000E+09,-5.29367955139E+00
3.28506350000E+09,-7.87631104221E+00
3.33006300000E+09,-1.12835958906E+01
3.37506250000E+09,-9.77752555632E+00
3.42006200000E+09,-7.75618312778E+00
3.46506150000E+09,-6.96251429886E+00
3.51006100000E+09,-6.89642746481E+00
3.55506050000E+09,-7.18983253623E+00
3.60006000000E+09,-7.70102992204E+00
3.64505950000E+09,-8.46538408911E+00
3.69005900000E+09,-9.70271777180E+00
3.73505850000E+09,-1.14610649649E+01
3.78005800000E+09,-1.38513576122E+01
3.82505750000E+09,-1.65591684748E+01
3.87005700000E+09,-1.78323777932E+01
3.91505650000E+09,-1.70901822730E+01
3.96005600000E+09,-1.61620306603E+01
4.00505550000E+09,-1.60467565449E+01
4.05005500000E+09,-1.70270925399E+01
4.09505450000E+09,-1.95027509748E+01
4.14005400000E+09,-2.47099965270E+01
4.18505350000E+09,-4.65250072722E+01
4.23005300000E+09,-2.66065582366E+01
4.27505250000E+09,-2.09959412445E+01
4.32005200000E+09,-1.86280953643E+01
4.36505150000E+09,-1.79093308616E+01
4.41005100000E+09,-1.85626836116E+01
4.45505050000E+09,-2.09530875682E+01
4.50005000000E+09,-2.68192864669E+01
4.54504950000E+09,-3.59540613306E+01
4.59004900000E+09,-2.28860391765E+01
4.63504850000E+09,-1.75696290817E+01
4.68004800000E+09,-1.45363269010E+01
4.72504750000E+09,-1.26752676037E+01
4.77004700000E+09,-1.16194180907E+01
4.81504650000E+09,-1.12821455449E+01
4.86004600000E+09,-1.18045608164E+01
4.90504550000E+09,-1.36169712489E+01
4.95004500000E+09,-1.78697832368E+01
4.99504450000E+09,-2.12266132522E+01
5.04004400000E+09,-1.31629090301E+01
5.08504350000E+09,-8.30368861338E+00
5.13004300000E+09,-5.56436955434E+00
5.17504250000E+09,-4.16266858614E+00
5.22004200000E+09,-3.59904138114E+00
5.26504150000E+09,-3.71906736768E+00
5.31004100000E+09,-4.95999014228E+00
5.35504050000E+09,-9.19439166706E+00
5.40004000000E+09,-1.46237121375E+01
5.44503950000E+09,-5.06725920410E+00
5.49003900000E+09,-2.66902213322E+00
5.53503850000E+09,-2.85868792851E+00
5.58003800000E+09,-1.88735068906E+01
5.62503750000E+09,-7.01935736691E-01
5.67003700000E+09,-1.00581996146E-01
5.71503650000E+09,-6.61669045829E-02
5.76003600000E+09,-9.17571120114E-02
5.80503550000E+09,-1.14338075369E-01
5.85003500000E+09,-1.40796470043E-01
5.89503450000E+09,-1.68371053560E-01
5.94003400000E+09,-1.94619020833E-01
5.98503350000E+09,-2.15370895974E-01
6.03003300000E+09,-2.36899279165E-01
6.07503250000E+09,-2.56086512135E-01
6.12003200000E+09,-2.73201546380E-01
6.16503150000E+09,-2.87197051982E-01
6.21003100000E+09,-2.99305821343E-01
6.25503050000E+09,-3.14328584825E-01
6.30003000000E+09,-3.22754878051E-01
6.34502950000E+09,-3.32521135312E-01
6.39002900000E+09,-3.36760548048E-01
6.43502850000E+09,-3.42226430433E-01
6.48002800000E+09,-3.48464546250E-01
