! CMT, C1209, 00000001, 22.3.3/2
! Date: 10/10/2025 11:37:35
! Stimulus(Hz),    S21(dB)
4.50005000000E+09,-1.81791527775E-01
4.54504950000E+09,-1.91101577493E-01
4.59004900000E+09,-2.09381185825E-01
4.63504850000E+09,-2.69334906410E-01
4.68004800000E+09,-3.81017920961E-01
4.72504750000E+09,-4.39683624450E-01
4.77004700000E+09,-4.05504506295E-01
4.81504650000E+09,-3.64568592952E-01
4.86004600000E+09,-3.48083050869E-01
4.90504550000E+09,-3.37695492127E-01
4.95004500000E+09,-2.75620453725E-01
4.99504450000E+09,-2.85527098124E-01
5.04004400000E+09,-4.86910992414E-01
5.08504350000E+09,-9.18277396410E-01
5.13004300000E+09,-1.33807216970E+00
5.17504250000E+09,-1.68062033164E+00
5.22004200000E+09,-2.23517960652E+00
5.26504150000E+09,-2.67962166293E+00
5.31004100000E+09,-2.11219253916E+00
5.35504050000E+09,-7.90166632857E-01
5.40004000000E+09,-4.08615602611E-01
5.44503950000E+09,-1.23721892468E+00
5.49003900000E+09,-3.39577063349E+00
5.53503850000E+09,-4.15342129374E+00
5.58003800000E+09,-1.02324952766E+00
5.62503750000E+09,-9.20617903138E+00
5.67003700000E+09,-1.76242527907E+01
5.71503650000E+09,-2.50295676083E+01
5.76003600000E+09,-3.15464673733E+01
5.80503550000E+09,-3.68260035937E+01
5.85003500000E+09,-4.09898542057E+01
5.89503450000E+09,-4.38919057869E+01
5.94003400000E+09,-4.76940896869E+01
5.98503350000E+09,-5.15475901875E+01
6.03003300000E+09,-5.46720297593E+01
6.07503250000E+09,-5.93450222305E+01
6.12003200000E+09,-6.17883370572E+01
6.16503150000E+09,-6.06075623661E+01
6.21003100000E+09,-6.24632353671E+01
6.25503050000E+09,-6.60115104993E+01
6.30003000000E+09,-7.85906084766E+01
6.34502950000E+09,-7.74082042775E+01
6.39002900000E+09,-7.89645950612E+01
6.43502850000E+09,-7.39277998666E+01
6.48002800000E+09,-7.92145006319E+01
6.52502750000E+09,-8.89263812511E+01
6.57002700000E+09,-7.64284177155E+01
6.61502650000E+09,-8.15313184579E+01
6.66002600000E+09,-7.53440127565E+01
6.70502550000E+09,-7.69302283927E+01
6.75002500000E+09,-7.46793283585E+01
6.79502450000E+09,-7.23686571231E+01
6.84002400000E+09,-7.63029821969E+01
6.88502350000E+09,-6.88030738665E+01
6.93002300000E+09,-8.71872899454E+01
6.97502250000E+09,-7.82203543532E+01
7.02002200000E+09,-8.24816318045E+01
7.06502150000E+09,-6.83813769432E+01
7.11002100000E+09,-7.54477897700E+01
7.15502050000E+09,-8.22922379256E+01
7.20002000000E+09,-9.36315839904E+01
7.24501950000E+09,-8.04807310181E+01
7.29001900000E+09,-7.27724327561E+01
7.33501850000E+09,-7.31525060165E+01
7.38001800000E+09,-7.22768612952E+01
7.42501750000E+09,-7.81149803189E+01
7.47001700000E+09,-6.68897412958E+01
7.51501650000E+09,-7.08189925737E+01
7.56001600000E+09,-6.35408973409E+01
7.60501550000E+09,-6.70156820486E+01
7.65001500000E+09,-8.50933862875E+01
7.69501450000E+09,-7.61151501800E+01
7.74001400000E+09,-7.94610158570E+01
7.78501350000E+09,-9.26278204132E+01
7.83001300000E+09,-8.71189150717E+01
7.87501250000E+09,-7.74637143234E+01
7.92001200000E+09,-7.06047835229E+01
7.96501150000E+09,-7.65848342575E+01
8.01001100000E+09,-9.50392094388E+01
8.05501050000E+09,-8.08201006638E+01
8.10001000000E+09,-7.94651246709E+01
8.14500950000E+09,-7.53124879923E+01
8.19000900000E+09,-7.55730832738E+01
8.23500850000E+09,-6.94850984279E+01
8.28000800000E+09,-7.21593055072E+01
8.32500750000E+09,-6.82412182989E+01
8.37000700000E+09,-7.61392192845E+01
8.41500650000E+09,-6.96781626811E+01
8.46000600000E+09,-7.75580049142E+01
8.50500550000E+09,-6.56672067798E+01
8.55000500000E+09,-7.01399872062E+01
8.59500450000E+09,-7.28764702223E+01
8.64000400000E+09,-7.02810884298E+01
8.68500350000E+09,-7.17931118422E+01
8.73000300000E+09,-7.12675703886E+01
8.77500250000E+09,-8.61362445420E+01
8.82000200000E+09,-8.36462007710E+01
8.86500150000E+09,-7.51894828557E+01
8.91000100000E+09,-7.85293800180E+01
8.95500050000E+09,-7.72292914926E+01
9.00000000000E+09,-7.99926379039E+01
